;Russian;English

%DrawPattern%;введите графический ключ;draw pattern
%CreatePattern%;создайте графический ключ;create pattern
%DrawMoreComplexPattern%;придумайте более сложный ключ;draw more complex pattern
%WrongPatternDrawNew%;неверный ключ, введите новый;wrong pattern, draw a new one
%RepeatPattern%;повторите графический ключ;repeat pattern

%WrongPatternTryAgain%;неверный ключ, повторите попытку;wrong pattern, try again
%ConfirmAction%;подтвердите действие;confirm action
%DrawCurrentPattern%;введите текущий ключ;draw current pattern
%Locked%;заблокировано;locked
%DrawNewPattern%;введите новый ключ;draw new pattern
%SavingPattern%;сохранение ключа...;saving pattern...
%LoadingCards%;загрузка карт...;loading cards...
%SavingCard%;сохранение карты...;saving card...
%OpeningCard%;открытие карты...;opening card...
%DeletingCard%;удаление карты...;deleting card...
%UpdatingCard%;обновление карты...;updating card...
%UpdatingStorage%;обновление хранилища...;updating storage...
%ResetingProfile%;удаление данных профиля...;deleting profile data...
%ResetingCloud%;удаление данных в облаке...;deleting cloud data...
%UpdatingProfile%;обновление профиля...;updating profile...
